"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"Rpl12",1.94240042285591e-77,-2.1458699881319,0.073,0.179,4.27153276990242e-73,72.3694162575128,"DOWN"
"Bhlhe41",2.07385138539479e-77,1.1047814839749,0.127,0.025,4.56060658162169e-73,72.3409773903331,"UP"
"Klhl29",2.12405258209406e-77,0.675884295935204,0.232,0.087,4.67100403328304e-73,72.3305897577108,"NO"
"Slc12a7",2.20543539600765e-77,-2.22287615623338,0.031,0.116,4.84997297936043e-73,72.3142606809745,"DOWN"
"Brdt",2.50668119247004e-77,1.62727005798591,0.12,0.021,5.51244261036087e-73,72.2586559189088,"UP"
"Hira",2.54070611908463e-77,0.500938968375955,0.298,0.134,5.587266826479e-73,72.2528005879023,"NO"
"Usp33",2.68005362377622e-77,0.206229520796895,0.348,0.165,5.89370592404628e-73,72.2296115377684,"NO"
"Usp32",3.66209264084827e-77,0.296229039737814,0.423,0.218,8.05330792648943e-73,72.0940256948951,"NO"
"Ralbp1",3.76326469647057e-77,0.42629398549142,0.263,0.109,8.27579539400842e-73,72.0821902551198,"NO"
"Gpr155",4.17795594559837e-77,1.21934239158247,0.144,0.035,9.18774291996537e-73,72.0367911651969,"UP"
"Zfp740",4.39475967417435e-77,0.278979704912266,0.342,0.163,9.66451599947681e-73,72.0148198906287,"NO"
"Mff",4.76610170968606e-77,0.634639657772382,0.217,0.08,1.04811342697706e-72,71.9795917154013,"NO"
"Jmy",5.54006666869923e-77,0.63538870857523,0.211,0.076,1.21831606111365e-72,71.9142400304295,"NO"
"Susd6",5.59248297184068e-77,0.224167209186904,0.364,0.177,1.22984293033748e-72,71.910150351035,"NO"
"Abca5",6.27700713010153e-77,1.15134803324913,0.123,0.023,1.38037663798063e-72,71.8600023994834,"UP"
"Tmbim1",6.42306732497608e-77,0.790766971214948,0.2,0.07,1.41249673543549e-72,71.8500125472494,"NO"
"Adam10",7.34112218973504e-77,0.268510460857114,0.324,0.149,1.61438618074463e-72,71.7919925686815,"NO"
"Arhgap44",8.22853002182027e-77,0.459157218776075,0.161,0.043,1.8095360370985e-72,71.7424327634499,"NO"
"Lamp2",1.11904775880729e-76,0.35313610674212,0.333,0.156,2.4608979263931e-72,71.6089063996753,"NO"
"Mef2c",1.12715062725993e-76,1.13324226345883,0.274,0.126,2.47871694440732e-72,71.6057730643982,"UP"
"Ttbk1",1.21671729292039e-76,0.644610662155342,0.164,0.046,2.67568299886122e-72,71.5725653408296,"NO"
"Phtf1",1.27482363920895e-76,0.557307009597114,0.238,0.094,2.80346466498441e-72,71.5523049134014,"NO"
"Runx1t1",1.55432071111028e-76,1.05718678446523,0.153,0.04,3.41810667580262e-72,71.4662143874931,"UP"
"Erc2",1.79042508845076e-76,0.518672478888157,0.318,0.147,3.93732381201208e-72,71.4047988666456,"NO"
"Fgd6",1.90564739604614e-76,0.802425342603752,0.187,0.061,4.19070918864506e-72,71.3777124756846,"NO"
"Eci2",2.01266943055462e-76,0.963381657780749,0.156,0.043,4.42606134473266e-72,71.3539825710924,"NO"
"Pclo",2.14604674842004e-76,0.255723831082798,0.381,0.192,4.71937140445052e-72,71.3261158432639,"NO"
"Glmn",2.74132021803655e-76,0.974707392883365,0.156,0.042,6.02843729148418e-72,71.2197952523112,"NO"
"Dnmt3a",3.31333077905033e-76,0.239666112535515,0.671,0.41,7.28634571620957e-72,71.1374902265775,"NO"
