"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Zfp65",-0.565994276621489,4.09361955811288,-1.10923736074589,0.296881750979139,0.416471307582152,-6.12806507786892,0.416471307582152,0.380414913556059,"NO"
"Psmd10",-0.000812882179101255,1.35075342865644,-0.00155883126026206,0.998791192227463,0.999349280060706,-6.12819030069037,0.999349280060706,0.000282696066862101,"NO"
"Nfkb1",0.53720537574783,7.24274288245203,1.16098947890512,0.276338560763626,0.39582901477794,-6.12831828006966,0.39582901477794,0.402492374616463,"NO"
"Pomk",0.287422058404338,2.53782091108841,0.74798672160388,0.474090678633219,0.586688579962601,-6.12853663147879,0.586688579962601,0.23159236535022,"NO"
"Stra6",0.210736801242624,1.57542762312209,0.347972582973006,0.736085031379824,0.808970701426435,-6.12857968794744,0.808970701426435,0.0920672069900034,"NO"
"Zfp956",0.348127673842474,4.44381498176855,1.12195742841334,0.291723636327299,0.411610761955065,-6.12859347006603,0.411610761955065,0.385513278718649,"NO"
"Nfic",0.353629845371315,5.63074554952861,1.18379872956576,0.267653633445048,0.386746186754889,-6.12865420402675,0.386746186754889,0.412573959669899,"NO"
"Copb1",0.409645973553476,5.84311317394679,1.18469162901753,0.267318189413292,0.386342026776488,-6.12869084506178,0.386342026776488,0.413028046179935,"NO"
"mt-Cytb",-0.513913281270059,4.49904572015808,-1.14732208303274,0.281650208234516,0.401120073869517,-6.12871831127756,0.401120073869517,0.396725603406998,"NO"
"Apobec1",0.629128481342434,6.5794015626099,1.17506227157394,0.270953742511779,0.390126910955046,-6.12900153283926,0.390126910955046,0.408794091020749,"NO"
"Shank3",0.388064713047424,4.75256617236023,1.14846555895224,0.281202703106545,0.400739801331695,-6.12909856042808,0.400739801331695,0.397137521454736,"NO"
"Hipk1",0.343552525927083,5.9375692668227,1.18829857024168,0.265966600384022,0.384888699929679,-6.12920114641088,0.384888699929679,0.414664839308699,"NO"
"Il1a",0.185029473017704,1.63491764686555,0.355620823670787,0.730546647778303,0.805047828563217,-6.12926488765002,0.805047828563217,0.0941783170681083,"NO"
"Pdzd4",-0.348542828905998,5.96816216034167,-1.20675897144035,0.259135748358747,0.377555711713156,-6.12951997718651,0.377555711713156,0.423018955281421,"NO"
"Gm39469",0.475297676774469,4.34156884873617,1.08693663725471,0.306097912997564,0.425411690744113,-6.1297231573792,0.425411690744113,0.371190579417085,"NO"
"Hk3",-0.621075169155441,4.34672039741395,-1.13440467184168,0.286745095321698,0.406543851166049,-6.12981537524688,0.406543851166049,0.390892603102357,"NO"
